lurralde_kodea,herrialdea,euskarazko_izena,izen_ofiziala,biztanleria2014,emaitza,bai,ez,zuria,baliogabea,hautesleak,botoa_emandakoak,partehartzea,data,galdera,langabezia_tasa_2014,langabezia_tasa_2016_maiatza,euskara_gaitasuna
31002,Nafarroa Garaia,Abartzuza,Abárzuza <> Abartzuza,556,,,,,,,,,,,"0,0",,"12,06"
31003,Nafarroa Garaia,Abaurregaina,Abaurregaina/Abaurrea Alta,132,,,,,,,,,,,"0,0",,"51,57"
31004,Nafarroa Garaia,Abaurrepea,Abaurrepea/Abaurrea Baja,38,,,,,,,,,,,"0,0",,"25,53"
31005,Nafarroa Garaia,Aberin,Aberin,382,,,,,,,,,,,"30,2",,"6,66"
31006,Nafarroa Garaia,Ablitas,Ablitas,2.549,,,,,,,,,,,"0,0",,"4,72"
31007,Nafarroa Garaia,Adios,Adiós,170,,,,,,,,,,,"0,0",,"6,20"
31008,Nafarroa Garaia,Aguilar Kodes,Aguilar de Codés,94,,,,,,,,,,,"0,0",,"3,06"
31009,Nafarroa Garaia,Oibar,Aibar <> Oibar,836,,,,,,,,,,,"0,0",,"9,03"
31010,Nafarroa Garaia,Altsasu,Altsasu/Alsasua,7.612,,,,,,,,,2017-06-18,,"0,0",,"32,92"
31011,Nafarroa Garaia,Allin,Allín <> Allin,840,,,,,,,,,,,"21,3",,"9,38"
31012,Nafarroa Garaia,Allo,Allo,1.019,,,,,,,,,,,"0,0",,"6,75"
31013,Nafarroa Garaia,Ameskoabarrena,Améscoa Baja,764,,,,,,,,,,,"0,0",,"13,62"
31014,Nafarroa Garaia,Antzin,Ancín <> Antzin,385,,,,,,,,,,,"0,0",,"6,57"
31015,Nafarroa Garaia,Andosilla,Andosilla,2.779,,,,,,,,,,,"0,0",,"3,26"
31016,Nafarroa Garaia,Antsoain,Ansoáin <> Antsoain,10.861,,,,,,,,,,,"0,0",,"15,66"
31017,Nafarroa Garaia,Anue,Anue,462,,,,,,,,,,,"12,8",,"28,02"
31018,Nafarroa Garaia,Añorbe,Añorbe,557,,,,,,,,,,,"0,0",,"3,71"
31019,Nafarroa Garaia,Agoitz,Aoiz/Agoitz,2.629,,,,,,,,,,,"0,0",,"21,88"
31020,Nafarroa Garaia,Araitz,Araitz,533,,,,,,,,,2017-06-18,,"0,0",,"95,70"
31021,Nafarroa Garaia,Aranaratxe,Aranarache <> Aranaratxe,77,,,,,,,,,,,"0,0",,"63,98"
31022,Nafarroa Garaia,Arantza,Arantza,629,,,,,,,,,2017-06-18,,"0,0",,"97,37"
31023,Nafarroa Garaia,Aranguren,Aranguren,8.982,,,,,,,,,,,"0,0",,"13,56"
31024,Nafarroa Garaia,Arano,Arano,111,,,,,,,,,2017-06-18,,"0,0",,"90,98"
31025,Nafarroa Garaia,Arakil,Arakil,941,,,,,,,,,,,"0,0",,"27,68"
31026,Nafarroa Garaia,Aras,Aras,184,,,,,,,,,,,"0,0",,"2,82"
31027,Nafarroa Garaia,Arbizu,Arbizu,1.117,,,,,,,,,2017-06-18,,"0,0",,"87,81"
31028,Nafarroa Garaia,Artzibar,Arce <> Artzi,282,,,,,,,,,,,"22,6",,"11,81"
31029,Nafarroa Garaia,Los Arcos,Los Arcos,1.167,,,,,,,,,,,"0,0",,"4,48"
31030,Nafarroa Garaia,Arellano,Arellano,184,,,,,,,,,,,"0,0",,"13,23"
31031,Nafarroa Garaia,Areso,Areso,266,,,,,,,,,2017-06-18,,"0,0",,"95,57"
31032,Nafarroa Garaia,Arguedas,Arguedas,2.313,,,,,,,,,,,"0,0",,"0,67"
31033,Nafarroa Garaia,Aria,Aria,55,,,,,,,,,,,"0,0",,"58,82"
31034,Nafarroa Garaia,Aribe,Aribe,44,,,,,,,,,,,"14,2",,"30,17"
31035,Nafarroa Garaia,Armañantzas,Armañanzas,61,,,,,,,,,,,"0,0",,"1,20"
31036,Nafarroa Garaia,Arroitz,Arróniz,1.078,,,,,,,,,,,"0,0",,"5,04"
31037,Nafarroa Garaia,Arruazu,Arruazu,111,,,,,,,,,2017-06-18,,"0,0",,"84,34"
31038,Nafarroa Garaia,Artaxoa,Artajona,1.697,,,,,,,,,,,"0,0",,"5,32"
31039,Nafarroa Garaia,Artazu,Artazu,118,,,,,,,,,,,"0,0",,"10,68"
31040,Nafarroa Garaia,Atetz,Atez,218,,,,,,,,,,,"0,0",,"38,44"
31041,Nafarroa Garaia,Aiegi,Ayegui <> Aiegi,2.191,,,,,,,,,,,"0,0",,"8,50"
31042,Nafarroa Garaia,Azagra,Azagra,3.801,,,,,,,,,,,"0,0",,"0,54"
31043,Nafarroa Garaia,Azuelo,Azuelo,37,,,,,,,,,,,"24,8",,"1,06"
31044,Nafarroa Garaia,Bakaiku,Bakaiku,336,bai,156,26,10,2,297,194,"65,31",2016-11-27,Euskal Herri independente bateko herritarra izan nahi duzu?,"0,0",,"68,31"
31045,Nafarroa Garaia,Barasoain,Barásoain,676,,,,,,,,,,,"0,0",,"15,03"
