lurralde_kodea,herrialdea,euskarazko_izena,izen_ofiziala,biztanleria2014,emaitza,bai,ez,zuria,baliogabea,hautesleak,botoa_emandakoak,partehartzea,data,galdera,langabezia_tasa_2014
20029,Gipuzkoa,Deba,Deba,5.450,,,,,,,,,,,"20,7"
20030,Gipuzkoa,Eibar,Eibar,27.440,,,,,,,,,,,"21,5"
20031,Gipuzkoa,Elduain,Elduain,239,,,,,,,,,2017-03-19,,"13,6"
20032,Gipuzkoa,Elgoibar,Elgoibar,11.488,,,,,,,,,,,"17,3"
20033,Gipuzkoa,Elgeta,Elgeta,1.121,bai,338,7,0,0,936,345,"36,86",2016-06-05,Nahi al duzu izan euskal estatu independente bateko herritar?,"19,0"
20034,Gipuzkoa,Eskoriatza,Eskoriatza,4.090,bai,803,86,3,2,3661,894,"24,42",2016-06-05,Nahi al duzu izan euskal estatu independente bateko herritar?,"18,1"
20035,Gipuzkoa,Ezkio-Itsaso,Ezkio-Itsaso,609,bai,257,9,3,2,490,271,"53,14",2016-06-05,Nahi al duzu euskal estatu burujabe bateko herritarra izan?,"13,9"
20036,Gipuzkoa,Hondarribia,Hondarribia,16.894,,,,,,,,,,,"15,7"
20037,Gipuzkoa,Gaintza,Gaintza,120,bai,67,4,5,1,106,77,"73,64",2016-06-05,Nahi al duzu euskal estatu burujabe bateko herritarra izan?,"23,1"
20038,Gipuzkoa,Gabiria,Gabiria,497,bai,193,4,0,0,404,197,"48,76",2016-06-05,Nahi al duzu euskal estatu burujabe bateko herritarra izan?,"8,5"
20039,Gipuzkoa,Getaria,Getaria,2.726,,,,,,,,,2017,,"15,9"
20040,Gipuzkoa,Hernani,Hernani,19.601,,,,,,,,,2017,,"23,3"
20041,Gipuzkoa,Hernialde,Hernialde,350,,,,,,,,,2017-03-19,,"14,3"
20042,Gipuzkoa,Ibarra,Ibarra,4.256,,,,,,,,,2017-03-19,,"12,5"
20043,Gipuzkoa,Idiazabal,Idiazabal,2.306,bai,825,33,9,4,1856,871,"46,93",2016-06-05,Nahi al duzu euskal estatu burujabe bateko herritarra izan?,"9,5"
20044,Gipuzkoa,Ikaztegieta,Ikaztegieta,464,,,,,,,,,2017-03-19,,"27,5"
20045,Gipuzkoa,Irun,Irun,61.195,,,,,,,,,,,"23,7"
20046,Gipuzkoa,Irura,Irura,1.671,,,,,,,,,2017-03-19,,"10,4"
20047,Gipuzkoa,Itsasondo,Itsasondo,666,bai,183,6,2,2,527,193,"36,62",2016-06-05,Nahi al duzu euskal estatu burujabe bateko herritarra izan?,"17,9"
20048,Gipuzkoa,Larraul,Larraul,260,,,,,,,,,2017-03-19,,"7,4"
20049,Gipuzkoa,Lazkao,Lazkao,5.465,bai,1415,28,11,9,4552,1463,"32,14",2016-06-05,Nahi al duzu euskal estatu burujabe bateko herritarra izan?,"18,2"
20050,Gipuzkoa,Leaburu,Leaburu,373,,,,,,,,,2017-03-19,,"16,7"
20051,Gipuzkoa,Legazpi,Legazpi,8.608,bai,1476,41,5,6,7290,1528,"20,96",2016-06-05,Nahi al duzu euskal estatu burujabe bateko herritarra izan?,"21,5"
20052,Gipuzkoa,Legorreta,Legorreta,1.468,bai,440,18,5,5,1201,468,"38,97",2016-06-05,Nahi al duzu euskal estatu burujabe bateko herritarra izan?,"22,8"
20053,Gipuzkoa,Lezo,Lezo,6.007,,,,,,,,,2017-03-19,,"17,7"
20054,Gipuzkoa,Lizartza,Lizartza,640,,,,,,,,,2017-03-19,,"20,0"
20055,Gipuzkoa,Arrasate,Arrasate/Mondragón,22.052,bai,4267,209,7,22,19119,4505,"23,56",2016-06-05,Nahi al duzu izan euskal estatu independente bateko herritar?,"16,9"
20056,Gipuzkoa,Mutriku,Mutriku,5.293,,,,,,,,,,,"19,8"
20057,Gipuzkoa,Mutiloa,Mutiloa,262,bai,132,10,0,1,200,143,"71,5",2016-06-05,Nahi al duzu euskal estatu burujabe bateko herritarra izan?,"3,8"
20058,Gipuzkoa,Olaberria,Olaberria,957,bai,171,2,0,0,818,173,"21,15",2016-06-05,Nahi al duzu euskal estatu burujabe bateko herritarra izan?,"20,7"
20059,Gipuzkoa,Oñati,Oñati,11.282,bai,3232,100,10,29,9448,3371,"35,68",2016-06-05,Nahi al duzu izan euskal estatu independente bateko herritar?,"12,7"
20060,Gipuzkoa,Orexa,Orexa,123,,,,,,,,,2017-03-19,,"14,3"
20061,Gipuzkoa,Orio,Orio,5.694,,,,,,,,,,,"16,7"
20062,Gipuzkoa,Ormaiztegi,Ormaiztegi,1.305,bai,466,12,4,3,1171,485,"41,42",2016-06-05,Nahi al duzu euskal estatu burujabe bateko herritarra izan?,"16,3"
20063,Gipuzkoa,Oiartzun,Oiartzun,9.970,,,,,,,,,2017-03-19,,"16,4"
20064,Gipuzkoa,Pasaia,Pasaia,15.929,,,,,,,,,2017-03-19,,"22,8"
